Transaction_ID,Card_Number,Timestamp,Amount,Latitude,Longitude,Failed_Auth,Country,Device_ID
T44,4000XXXXXXXX0009,2025-03-01 14:27:00,4989.58,10.972845868410172,86.5266985291231,0,India,Hacker's PC
T37,4000XXXXXXXX0003,2025-03-02 05:00:00,2939.34,34.28508413799236,81.19915607405333,1,India,iPhone 13
T41,4000XXXXXXXX0006,2025-03-02 12:40:00,2348.36,25.316422209373314,77.94137045239027,1,India,iPhone 13
T13,4000XXXXXXXX0007,2025-03-01 09:00:00,1592.68,16.331739173153526,70.88897438048521,1,India,iPhone 13
T48,4000XXXXXXXX0009,2025-03-03 00:44:00,4037.93,22.35326294288109,73.02301728425452,1,India,iPhone 13
T36,4000XXXXXXXX0007,2025-03-02 01:30:00,561.63,33.39211251449319,74.49284873832605,2,India,Hacker's PC
T19,4000XXXXXXXX0001,2025-03-01 19:24:00,1749.04,10.368855299432136,95.52258558773828,1,India,iPhone 13
R2,4000XXXXXXXX0006,2025-03-01 08:01:00,340.3991650133444,25.2048,55.2708,0,UAE,iPhone 13
T8,4000XXXXXXXX0005,2025-03-01 10:27:00,378.28,28.57690941788801,94.78050075996516,1,India,iPhone 13
T10,4000XXXXXXXX0000,2025-03-01 08:54:00,4862.05,23.15299176668562,55.43162843432857,0,UAE,iPhone 13
T7,4000XXXXXXXX0008,2025-03-01 09:00:00,4346.9,36.67628308873152,68.06324286809883,2,India,iPhone 13
T6,4000XXXXXXXX0004,2025-03-01 11:35:00,2640.27,34.83898477061375,85.19245522075343,1,India,iPhone 13
T38,4000XXXXXXXX0004,2025-03-02 09:54:00,3250.72,27.7036479710706,68.99554580113892,4,India,iPhone 13
T40,4000XXXXXXXX0008,2025-03-01 21:39:00,3284.77,18.066953782475704,88.27467045164158,2,India,Hacker's PC
T16,4000XXXXXXXX0008,2025-03-01 12:15:00,2510.49,11.334108448261826,85.22360055426846,1,India,iPhone 13
T33,4000XXXXXXXX0005,2025-03-01 18:40:00,518.79,11.148548030180336,71.36075580265077,1,India,iPhone 13
T27,4000XXXXXXXX0007,2025-03-01 23:36:00,1142.64,33.34762584268256,92.4793026740581,0,India,iPhone 13
T15,4000XXXXXXXX0007,2025-03-01 22:00:00,3552.18,15.20682885099955,85.46172723945136,1,India,iPhone 13
T17,4000XXXXXXXX0005,2025-03-01 20:00:00,1433.97,23.463269412755647,75.47760594919538,0,India,iPhone 13
T30,4000XXXXXXXX0006,2025-03-01 23:57:00,4226.86,20.49716495176868,93.24296665458996,1,India,iPhone 13
T39,4000XXXXXXXX0006,2025-03-02 12:30:00,4010.88,14.22204397618994,95.43931126955296,0,India,iPhone 13
T2,4000XXXXXXXX0007,2025-03-01 09:00:00,3050.76,24.36982971588508,73.88869732809893,1,India,iPhone 13
T25,4000XXXXXXXX0006,2025-03-02 00:00:00,1123.38,29.35098386023858,84.75696827393087,1,India,iPhone 13
T43,4000XXXXXXXX0006,2025-03-02 03:36:00,2820.46,36.89485433650833,71.44736645518047,2,India,iPhone 13
H1,4000XXXXXXXX0006,2025-03-03 08:00:00,15000.0,25.276987,55.296249,0,UAE,iPhone 13
T20,4000XXXXXXXX0008,2025-03-01 16:33:00,4904.79,21.04103911636998,88.23689708566533,1,India,iPhone 13
T49,4000XXXXXXXX0002,2025-03-02 03:12:00,2483.66,24.390637250403994,72.2870621272439,2,India,iPhone 13
O1,4000XXXXXXXX0006,2025-03-02 08:00:00,1.0,25.276987,55.296249,0,UAE,iPhone 13
T11,4000XXXXXXXX0005,2025-03-01 08:30:00,4474.79,32.2071834836732,91.63999851818936,1,India,iPhone 13
T28,4000XXXXXXXX0003,2025-03-02 10:33:00,1971.91,24.61933609027973,55.89167307095687,2,UAE,iPhone 13
R1,4000XXXXXXXX0006,2025-03-01 08:00:00,220.28660543048545,25.2048,55.2708,0,UAE,iPhone 13
T4,4000XXXXXXXX0001,2025-03-01 08:30:00,199.68,13.647121238115746,74.65085955526808,2,India,iPhone 13
T12,4000XXXXXXXX0000,2025-03-01 16:15:00,4382.34,21.24553506441479,89.17420293184198,1,India,iPhone 13
T42,4000XXXXXXXX0001,2025-03-02 14:04:00,2535.63,31.438135978092934,73.69853822343413,2,India,iPhone 13
T31,4000XXXXXXXX0008,2025-03-02 03:00:00,2761.4,27.380428251683632,94.24807905123905,1,India,Hacker's PC
T50,4000XXXXXXXX0000,2025-03-02 20:45:00,3020.87,9.07914596325436,70.6119630295545,1,India,iPhone 13
T45,4000XXXXXXXX0003,2025-03-01 13:08:00,1553.16,22.799884895431003,91.02180897088584,2,India,iPhone 13
O2,4000XXXXXXXX0006,2025-03-02 09:00:00,25000.0,25.276987,55.296249,0,UAE,iPhone 13
R3,4000XXXXXXXX0006,2025-03-01 08:02:00,286.8094323010812,25.2048,55.2708,0,UAE,iPhone 13
T9,4000XXXXXXXX0008,2025-03-01 15:20:00,358.81,12.31186142326264,70.00737836311099,2,India,iPhone 13
T34,4000XXXXXXXX0004,2025-03-02 13:42:00,986.62,31.503148315811327,77.60383811172903,1,India,iPhone 13
T21,4000XXXXXXXX0006,2025-03-01 12:20:00,4192.94,9.495937873110016,82.08092905478057,2,India,iPhone 13
T5,4000XXXXXXXX0000,2025-03-01 08:52:00,4068.37,22.70629940844904,53.212146179650766,1,UAE,iPhone 13
T23,4000XXXXXXXX0001,2025-03-01 22:18:00,3711.64,21.47091562755859,94.96617897298158,2,India,iPhone 13
T1,4000XXXXXXXX0006,2025-03-01 08:00:00,4232.61,25.57824664141572,56.30863706750832,2,UAE,iPhone 13
T24,4000XXXXXXXX0006,2025-03-01 08:23:00,1236.28,14.480048512147253,94.40563079415406,1,India,iPhone 13
T32,4000XXXXXXXX0000,2025-03-01 11:06:00,239.28,24.323292394155363,55.49087171149725,1,UAE,iPhone 13
T35,4000XXXXXXXX0004,2025-03-02 00:26:00,2160.65,29.965718887411967,71.06204515741264,1,India,iPhone 13
T47,4000XXXXXXXX0002,2025-03-02 10:04:00,21.87,15.114810537511769,73.16633545200303,1,India,iPhone 13
T18,4000XXXXXXXX0009,2025-03-01 16:30:00,2409.0,24.961622013160728,91.00266864619522,2,India,iPhone 13
T3,4000XXXXXXXX0002,2025-03-01 09:42:00,3554.72,21.60608175297689,72.16165791722169,1,India,iPhone 13
H3,4000XXXXXXXX0006,2025-03-03 10:00:00,25000.0,25.276987,55.296249,0,UAE,iPhone 13
T14,4000XXXXXXXX0003,2025-03-01 09:18:00,4833.37,21.0254182387397,83.69606977760466,1,India,iPhone 13
H2,4000XXXXXXXX0006,2025-03-03 09:00:00,20000.0,25.276987,55.296249,0,UAE,iPhone 13
T22,4000XXXXXXXX0007,2025-03-02 04:39:00,3774.06,35.31556776738621,96.6615906673438,1,India,iPhone 13
T26,4000XXXXXXXX0002,2025-03-01 09:15:00,566.41,15.534354002488652,93.30001091754863,0,India,iPhone 13
T46,4000XXXXXXXX0000,2025-03-01 08:45:00,1600.4,29.05960640960428,93.90580018370682,0,India,iPhone 13
T29,4000XXXXXXXX0007,2025-03-01 08:28:00,828.29,15.913308253118265,82.69323378516042,0,India,iPhone 13
